ID;Aluminum;Aluminum with Thermal Break;ReinforcedAluminum Clad Wood;Wood;Vinyl;Insulated Fiberglass/Vinyl
1a;0.78;0.78;0.75;0.75;0.75;0.75
5a;0.69;0.69;0.67;0.67;0.67;0.67
29a;0.62;0.62;0.6;0.6;0.6;0.6
25a;0.38;0.38;0.36;0.36;0.36;0.36
40c;0.25;0.25;0.24;0.24;0.24;0.24
17c;0.64; ;0.61;0.61;0.61;0.61
32c;0.56;0.56;0.54;0.54;0.54;0.54
1c;0.66;0.66;0.64;0.64;0.64;0.64
5c;0.56;0.56;0.54;0.54;0.54;0.54
29c;0.31;0.31;0.3;0.3;0.3;0.3
1l;0.29;0.29;0.27;0.27;0.27;0.27
5p;0.27;0.27;0.26;0.26;0.26;0.26
29c;0.31;0.31;0.3;0.3;0.3;0.3
